dataset,model,MASE,WQL
ETTh,amazon/chronos-t5-small,0.7878408004202058,0.07565119735601686
ETTm,amazon/chronos-t5-small,0.7331555462520429,0.05975455158648118
dominick,amazon/chronos-t5-small,0.8172987577782004,0.3461863538818736
ercot,amazon/chronos-t5-small,0.609774552778542,0.01843663596243759
exchange_rate,amazon/chronos-t5-small,2.0040721465695084,0.014557094842668736
m4_quarterly,amazon/chronos-t5-small,1.1726164663871839,0.08052339551036482
m4_yearly,amazon/chronos-t5-small,3.2743593308042986,0.12130277092602491
m5,amazon/chronos-t5-small,1.0263738680631418,0.6341715616425362
monash_australian_electricity,amazon/chronos-t5-small,1.5360348494169154,0.08764020508857237
monash_car_parts,amazon/chronos-t5-small,2.2444650736656273,2.1610899000957016
monash_cif_2016,amazon/chronos-t5-small,1.0205180358349346,0.011843692240653006
monash_covid_deaths,amazon/chronos-t5-small,38.56196406359859,0.04872860215909911
monash_fred_md,amazon/chronos-t5-small,0.5201859333173879,0.03389777761697816
monash_hospital,amazon/chronos-t5-small,0.9001344409739722,0.061738139786703804
monash_m1_monthly,amazon/chronos-t5-small,1.1252933471096318,0.15876036593349635
monash_m1_quarterly,amazon/chronos-t5-small,1.74169703170768,0.08526224624861202
monash_m1_yearly,amazon/chronos-t5-small,3.8570123693639298,0.14209281981836314
monash_m3_monthly,amazon/chronos-t5-small,0.8759623050951979,0.10095504663572251
monash_m3_quarterly,amazon/chronos-t5-small,1.1520920647341446,0.07497943677376583
monash_m3_yearly,amazon/chronos-t5-small,2.94465620728172,0.14428541688486726
monash_nn5_weekly,amazon/chronos-t5-small,0.9027786781269963,0.08729631903104675
monash_tourism_monthly,amazon/chronos-t5-small,1.6721265190601713,0.09200783026724407
monash_tourism_quarterly,amazon/chronos-t5-small,1.6283587255431626,0.058491017105323895
monash_tourism_yearly,amazon/chronos-t5-small,3.610326434075459,0.16351675409531805
monash_traffic,amazon/chronos-t5-small,0.7484527055882719,0.24070353861705782
monash_weather,amazon/chronos-t5-small,0.9011159438653537,0.15303437680077903
nn5,amazon/chronos-t5-small,0.611036397328264,0.16754551930887598
