dataset,model,MASE,WQL
ETTh,amazon/chronos-t5-small,0.7961046458269524,0.07890145169997315
ETTm,amazon/chronos-t5-small,0.7136272699098767,0.058877928208827326
dominick,amazon/chronos-t5-small,0.81355926625032,0.342360036409104
ercot,amazon/chronos-t5-small,0.5839924027283946,0.01665993859980465
exchange_rate,amazon/chronos-t5-small,2.4017957458634833,0.014675805055261747
m4_quarterly,amazon/chronos-t5-small,1.1778231311760858,0.08065041883835392
m4_yearly,amazon/chronos-t5-small,3.287355802948096,0.12109345095013976
m5,amazon/chronos-t5-small,0.9857029396724067,0.6153917795782865
monash_australian_electricity,amazon/chronos-t5-small,1.3982478986911453,0.08144176729708406
monash_car_parts,amazon/chronos-t5-small,1.6313687255164289,1.696300293407689
monash_cif_2016,amazon/chronos-t5-small,1.0512307981635505,0.012586680832675707
monash_covid_deaths,amazon/chronos-t5-small,38.67335229581637,0.0414891744979628
monash_fred_md,amazon/chronos-t5-small,0.5744506727626844,0.02719450406042446
monash_hospital,amazon/chronos-t5-small,0.8901841511788582,0.061302056625455986
monash_m1_monthly,amazon/chronos-t5-small,1.1236729707770092,0.163785583856578
monash_m1_quarterly,amazon/chronos-t5-small,1.7243770218529284,0.08331543670580614
monash_m1_yearly,amazon/chronos-t5-small,3.814038503670991,0.13881061375519854
monash_m3_monthly,amazon/chronos-t5-small,0.8871345133727591,0.10184112928806408
monash_m3_quarterly,amazon/chronos-t5-small,1.1891535747747528,0.07708545356298903
monash_m3_yearly,amazon/chronos-t5-small,2.8960026066003017,0.14242573271586512
monash_nn5_weekly,amazon/chronos-t5-small,0.9097421108581312,0.08771664485379048
monash_tourism_monthly,amazon/chronos-t5-small,1.660290491217215,0.09751199874268143
monash_tourism_quarterly,amazon/chronos-t5-small,1.6068423995958987,0.06227157536985809
monash_tourism_yearly,amazon/chronos-t5-small,3.561584040933959,0.1676037482704488
monash_traffic,amazon/chronos-t5-small,0.739996790883943,0.23867311875406635
monash_weather,amazon/chronos-t5-small,0.8942403118973646,0.15052033748474714
nn5,amazon/chronos-t5-small,0.6114750299416998,0.16785838378631127
